DyeingID,FactoryID,BatchID,FabricType,Shade,StartTime,EndTime,GreyKG,FinishKG,BatchLossPct,ReprocessFlag
44,1,B7460,Single Jersey,Sky Blue,2025-06-20,2025-06-20 10:00:00,665,646,2.81,0
45,1,B4871,Twill,Marl Grey,2024-05-23,2024-05-23 15:00:00,835,791,5.26,0
46,1,B6254,Single Jersey,Red,2025-01-07,2025-01-07 09:00:00,772,745,3.39,0
47,1,B2533,Single Jersey,Sky Blue,2022-11-16,2022-11-16 20:00:00,1111,1060,4.57,0
48,1,B6705,Single Jersey,Black,2023-04-19,2023-04-19 19:00:00,1740,1691,2.8,0
49,1,B9378,Rib,Black,2023-02-28,2023-02-28 13:00:00,1304,1230,5.65,0
50,1,B2354,Rib,Marl Grey,2025-11-15,2025-11-15 07:00:00,2930,2812,4.0,0
51,1,B3378,Twill,Black,2025-05-18,2025-05-18 08:00:00,1118,1062,4.93,1
52,1,B2934,Twill,Red,2024-04-20,2024-04-20 07:00:00,2411,2290,5.01,0
53,1,B2462,Single Jersey,Black,2022-03-17,2022-03-17 08:00:00,2067,1992,3.61,0
54,1,B1685,Single Jersey,White,2022-12-05,2022-12-05 16:00:00,630,606,3.79,0
55,1,B9669,Twill,Navy,2022-03-14,2022-03-14 09:00:00,1310,1235,5.7,0
56,1,B1606,Interlock,White,2024-08-18,2024-08-18 14:00:00,1288,1240,3.73,0
57,1,B1219,Rib,Red,2022-12-29,2022-12-29 18:00:00,1734,1645,5.11,1
58,1,B5621,Rib,Black,2024-05-17,2024-05-17 16:00:00,869,841,3.14,0
59,1,B7468,Denim,Navy,2023-04-03,2023-04-03 11:00:00,1880,1777,5.44,0
60,1,B3205,Rib,White,2023-09-20,2023-09-20 19:00:00,1674,1615,3.5,1
61,1,B4172,Interlock,Olive,2023-10-30,2023-10-30 17:00:00,2058,1947,5.36,1
62,1,B1020,Rib,Marl Grey,2022-02-15,2022-02-15 17:00:00,2830,2705,4.38,0
63,1,B9135,Single Jersey,Sky Blue,2024-09-07,2024-09-07 08:00:00,898,871,2.92,0
64,1,B5513,Rib,Red,2022-04-10,2022-04-10 12:00:00,1970,1887,4.2,0
65,1,B6028,Rib,Navy,2025-10-17,2025-10-17 17:00:00,610,591,3.04,1
66,1,B3558,Single Jersey,Navy,2022-03-31,2022-03-31 11:00:00,2473,2331,5.72,0
67,1,B3653,Twill,Navy,2023-12-20,2023-12-20 15:00:00,2783,2672,3.98,1
68,1,B2007,Twill,Marl Grey,2022-05-16,2022-05-16 06:00:00,849,817,3.72,0
69,1,B7755,Rib,Navy,2023-01-07,2023-01-07 20:00:00,1018,962,5.44,0
70,1,B2753,Interlock,Olive,2024-10-13,2024-10-13 20:00:00,1569,1477,5.81,0
71,1,B1124,Rib,Marl Grey,2022-06-03,2022-06-03 06:00:00,1669,1633,2.13,1
72,1,B6950,Twill,Red,2022-03-09,2022-03-09 11:00:00,2811,2651,5.66,0
73,1,B7933,Interlock,White,2022-07-20,2022-07-20 18:00:00,765,738,3.48,0
74,1,B6702,Interlock,Olive,2025-08-07,2025-08-07 10:00:00,2241,2120,5.37,0
75,1,B8857,Single Jersey,Navy,2024-09-02,2024-09-02 06:00:00,1528,1469,3.85,1
76,1,B1973,Single Jersey,Sky Blue,2022-05-07,2022-05-07 18:00:00,2606,2541,2.49,0
77,1,B7759,Denim,Navy,2024-11-24,2024-11-24 07:00:00,911,876,3.8,0
78,1,B9011,Rib,Red,2025-11-08,2025-11-08 07:00:00,2614,2557,2.17,1
79,1,B7000,Twill,Black,2025-04-03,2025-04-03 07:00:00,1106,1057,4.37,0
80,1,B6615,Single Jersey,Red,2022-12-16,2022-12-16 13:00:00,845,821,2.78,1
81,1,B2665,Rib,Black,2024-05-30,2024-05-30 06:00:00,2392,2275,4.85,0
82,1,B5714,Interlock,White,2024-09-21,2024-09-21 12:00:00,1628,1563,3.97,0
83,1,B3866,Single Jersey,Marl Grey,2025-05-04,2025-05-04 08:00:00,1305,1277,2.1,0
84,1,B6716,Denim,Sky Blue,2025-09-19,2025-09-19 17:00:00,2663,2537,4.71,0
85,1,B8036,Denim,Olive,2025-04-19,2025-04-19 06:00:00,2532,2478,2.12,0
86,1,B6468,Rib,Marl Grey,2025-09-20,2025-09-20 18:00:00,1320,1261,4.43,0
87,1,B8200,Interlock,Sky Blue,2025-09-12,2025-09-12 08:00:00,2291,2163,5.56,0
88,1,B2293,Interlock,White,2023-10-19,2023-10-19 17:00:00,762,730,4.1,0
89,1,B8782,Single Jersey,Black,2024-08-04,2024-08-04 12:00:00,735,691,5.92,0
90,1,B2641,Interlock,Olive,2022-09-14,2022-09-14 07:00:00,2913,2851,2.1,1
91,1,B1828,Twill,White,2024-01-31,2024-01-31 10:00:00,2489,2372,4.67,0
92,1,B1611,Single Jersey,Marl Grey,2024-09-14,2024-09-14 14:00:00,1575,1506,4.34,0
93,1,B2113,Denim,Sky Blue,2022-01-06,2022-01-06 16:00:00,1604,1535,4.3,0
94,1,B2077,Interlock,Sky Blue,2025-10-02,2025-10-02 14:00:00,1205,1178,2.17,0
95,1,B1620,Denim,Olive,2023-03-19,2023-03-19 12:00:00,2949,2793,5.29,0
96,1,B9670,Twill,Marl Grey,2022-11-26,2022-11-26 15:00:00,1416,1350,4.59,0
97,1,B8192,Single Jersey,Sky Blue,2023-02-20,2023-02-20 10:00:00,2198,2120,3.53,0
98,1,B2672,Twill,Red,2024-08-26,2024-08-26 06:00:00,907,883,2.59,0
99,1,B8946,Twill,White,2022-09-25,2022-09-25 18:00:00,1590,1542,2.99,0
100,1,B6280,Twill,Navy,2025-02-03,2025-02-03 16:00:00,1363,1295,4.95,0
101,1,B5736,Denim,White,2024-04-08,2024-04-08 06:00:00,966,908,5.98,0
102,1,B2097,Interlock,Navy,2023-05-02,2023-05-02 08:00:00,2264,2141,5.39,0
103,1,B1431,Rib,Red,2022-07-11,2022-07-11 14:00:00,708,679,4.06,0
104,1,B3810,Single Jersey,Black,2023-05-03,2023-05-03 16:00:00,2182,2133,2.22,0
105,1,B1449,Interlock,Black,2025-06-16,2025-06-16 09:00:00,2735,2577,5.77,0
106,1,B7051,Denim,White,2025-05-09,2025-05-09 18:00:00,2601,2487,4.38,0
107,1,B8349,Rib,Black,2025-11-20,2025-11-20 17:00:00,842,792,5.9,0
108,1,B9806,Denim,Marl Grey,2024-03-03,2024-03-03 14:00:00,2907,2736,5.86,0
109,1,B1500,Single Jersey,White,2024-05-08,2024-05-08 08:00:00,2134,2014,5.58,0
110,1,B3633,Single Jersey,Red,2023-10-26,2023-10-26 09:00:00,1958,1877,4.09,0
111,1,B8214,Denim,Olive,2023-06-14,2023-06-14 06:00:00,2292,2160,5.73,0
112,1,B1420,Interlock,White,2024-05-20,2024-05-20 16:00:00,691,665,3.68,0
113,1,B2535,Rib,Sky Blue,2024-04-23,2024-04-23 15:00:00,1273,1228,3.52,1
114,1,B7606,Single Jersey,Sky Blue,2022-12-28,2022-12-28 13:00:00,844,795,5.74,0
115,1,B5430,Rib,White,2022-12-13,2022-12-13 13:00:00,2234,2139,4.24,0
116,1,B7424,Denim,Marl Grey,2024-04-15,2024-04-15 06:00:00,2454,2339,4.66,1
117,1,B6810,Rib,Marl Grey,2022-09-20,2022-09-20 18:00:00,982,952,3.03,0
118,1,B7938,Single Jersey,Olive,2022-03-02,2022-03-02 16:00:00,2249,2200,2.18,0
119,1,B5065,Rib,Red,2023-03-16,2023-03-16 14:00:00,1663,1584,4.7,0
120,1,B4672,Interlock,Marl Grey,2023-06-26,2023-06-26 13:00:00,2045,1975,3.42,0
121,1,B7523,Rib,Olive,2024-10-23,2024-10-23 17:00:00,685,647,5.54,0
122,1,B5637,Denim,Red,2025-08-07,2025-08-07 20:00:00,2071,1984,4.19,0
123,1,B8033,Single Jersey,Olive,2023-05-08,2023-05-08 13:00:00,2355,2259,4.05,0
124,1,B1190,Rib,White,2025-11-04,2025-11-04 20:00:00,1884,1838,2.41,0
125,1,B6825,Denim,Sky Blue,2024-05-19,2024-05-19 14:00:00,1495,1415,5.3,0
126,1,B9957,Rib,Black,2022-05-09,2022-05-09 18:00:00,2558,2407,5.87,0
127,1,B4637,Interlock,White,2025-04-24,2025-04-24 15:00:00,2138,2049,4.13,0
128,1,B1673,Twill,Navy,2023-04-09,2023-04-09 18:00:00,1558,1502,3.58,0
129,1,B9637,Twill,White,2025-11-08,2025-11-08 19:00:00,2858,2793,2.27,1
130,1,B2038,Single Jersey,Olive,2024-08-11,2024-08-11 15:00:00,802,779,2.86,0
131,1,B5067,Interlock,Marl Grey,2022-09-24,2022-09-24 19:00:00,2956,2821,4.56,0
132,1,B4351,Twill,Black,2023-01-09,2023-01-09 20:00:00,1452,1410,2.85,0
133,1,B1006,Interlock,Navy,2025-01-25,2025-01-25 14:00:00,1518,1484,2.18,0
134,1,B9372,Single Jersey,Red,2024-11-26,2024-11-26 20:00:00,1861,1765,5.12,0
135,1,B3712,Interlock,Olive,2023-09-19,2023-09-19 15:00:00,1737,1667,3.98,0
136,1,B2595,Twill,Olive,2025-06-20,2025-06-20 10:00:00,629,594,5.49,0
137,1,B1462,Denim,Red,2022-11-16,2022-11-16 17:00:00,2146,2030,5.38,0
138,1,B8933,Single Jersey,Sky Blue,2024-02-05,2024-02-05 14:00:00,2612,2546,2.51,0
139,1,B9955,Single Jersey,White,2022-10-02,2022-10-02 19:00:00,2716,2557,5.83,0
140,1,B7565,Twill,Sky Blue,2023-06-20,2023-06-20 13:00:00,2757,2685,2.58,0
141,1,B5437,Twill,White,2023-08-09,2023-08-09 15:00:00,928,880,5.15,0
142,1,B4026,Twill,Marl Grey,2023-05-08,2023-05-08 15:00:00,2042,1923,5.79,0
143,1,B9821,Denim,Sky Blue,2025-04-16,2025-04-16 17:00:00,1519,1446,4.8,0
144,1,B8214,Interlock,White,2025-04-21,2025-04-21 19:00:00,2061,1973,4.27,0
145,1,B2479,Interlock,Olive,2023-08-14,2023-08-14 16:00:00,2909,2820,3.04,0
146,1,B1807,Single Jersey,Black,2023-10-04,2023-10-04 06:00:00,1052,1000,4.89,0
147,1,B8827,Interlock,Navy,2024-01-25,2024-01-25 07:00:00,2062,1947,5.56,1
148,1,B2153,Twill,Black,2024-06-20,2024-06-20 19:00:00,2230,2124,4.73,1
149,1,B9811,Denim,Sky Blue,2024-08-03,2024-08-03 12:00:00,2117,2057,2.83,0
150,1,B3060,Single Jersey,White,2025-08-30,2025-08-30 06:00:00,2872,2784,3.04,0
151,1,B7209,Twill,Black,2023-04-05,2023-04-05 15:00:00,701,686,2.1,0
152,1,B5933,Rib,Olive,2024-06-08,2024-06-08 06:00:00,2672,2514,5.89,0
153,1,B5805,Twill,Red,2023-08-19,2023-08-19 14:00:00,1622,1538,5.14,0
154,1,B8125,Twill,Red,2022-01-11,2022-01-11 10:00:00,2181,2133,2.2,0
155,1,B3651,Single Jersey,Sky Blue,2023-10-25,2023-10-25 13:00:00,1772,1714,3.26,0
156,1,B8259,Interlock,White,2024-12-05,2024-12-05 10:00:00,619,592,4.28,0
157,1,B6225,Rib,Navy,2024-05-04,2024-05-04 08:00:00,2574,2439,5.22,1
158,1,B4973,Interlock,Olive,2024-12-28,2024-12-28 19:00:00,2156,2037,5.5,0
159,1,B4019,Twill,Olive,2025-03-26,2025-03-26 11:00:00,1684,1646,2.22,0
160,1,B6685,Rib,Black,2025-06-24,2025-06-24 08:00:00,537,511,4.78,0
161,1,B4059,Single Jersey,Navy,2023-03-07,2023-03-07 18:00:00,1123,1087,3.18,0
162,1,B8404,Twill,Red,2022-09-05,2022-09-05 11:00:00,2441,2361,3.24,0
163,1,B2103,Twill,Black,2023-09-09,2023-09-09 07:00:00,924,902,2.32,0
164,1,B2512,Interlock,Sky Blue,2024-02-01,2024-02-01 18:00:00,2561,2426,5.26,0
165,1,B9471,Twill,Black,2022-10-23,2022-10-23 06:00:00,525,498,5.04,0
166,1,B2775,Twill,White,2022-06-06,2022-06-06 13:00:00,2614,2459,5.93,0
167,1,B3094,Rib,Sky Blue,2022-10-22,2022-10-22 11:00:00,824,801,2.69,0
168,1,B8275,Single Jersey,Sky Blue,2025-07-12,2025-07-12 12:00:00,1619,1557,3.78,0
169,1,B5310,Rib,Marl Grey,2022-07-15,2022-07-15 20:00:00,2240,2188,2.3,0
170,1,B3697,Single Jersey,Navy,2025-08-31,2025-08-31 20:00:00,2665,2584,3.0,0
171,1,B8843,Interlock,Navy,2025-03-27,2025-03-27 12:00:00,2261,2184,3.38,0
172,1,B9721,Single Jersey,Red,2024-05-19,2024-05-19 08:00:00,2769,2674,3.4,0
173,1,B7037,Interlock,White,2024-12-16,2024-12-16 14:00:00,1216,1176,3.24,0
174,1,B4810,Denim,Olive,2024-07-18,2024-07-18 10:00:00,1537,1484,3.45,0
175,1,B1772,Single Jersey,Marl Grey,2023-02-07,2023-02-07 10:00:00,2258,2189,3.02,0
176,1,B8654,Interlock,Marl Grey,2022-11-07,2022-11-07 07:00:00,1096,1035,5.48,0
177,1,B2825,Rib,Navy,2022-06-17,2022-06-17 10:00:00,1131,1066,5.74,0
178,1,B9802,Denim,Sky Blue,2022-12-05,2022-12-05 19:00:00,2512,2393,4.73,0
179,1,B2390,Twill,Red,2024-05-12,2024-05-12 10:00:00,2130,2022,5.06,0
180,1,B3725,Twill,Navy,2025-04-28,2025-04-28 14:00:00,625,607,2.77,0
181,1,B7217,Rib,Sky Blue,2024-03-16,2024-03-16 06:00:00,798,753,5.59,0
182,1,B9894,Single Jersey,Sky Blue,2022-04-30,2022-04-30 09:00:00,775,740,4.43,0
183,1,B1683,Interlock,Olive,2023-07-25,2023-07-25 18:00:00,1296,1268,2.13,0
184,1,B4760,Interlock,Marl Grey,2022-04-11,2022-04-11 15:00:00,2733,2623,4.01,0
185,1,B4759,Interlock,Sky Blue,2024-06-28,2024-06-28 19:00:00,1440,1360,5.52,1
186,1,B2701,Denim,Black,2022-09-26,2022-09-26 14:00:00,2123,2043,3.76,0
187,1,B2097,Twill,Olive,2024-07-03,2024-07-03 16:00:00,1205,1167,3.12,0
188,1,B6889,Interlock,Olive,2022-11-08,2022-11-08 19:00:00,2251,2201,2.21,0
189,1,B9766,Interlock,Marl Grey,2022-09-07,2022-09-07 13:00:00,770,739,3.9,0
190,1,B2755,Single Jersey,Marl Grey,2022-08-08,2022-08-08 08:00:00,1812,1758,2.96,0
191,1,B9792,Twill,White,2023-10-06,2023-10-06 17:00:00,2599,2478,4.64,0
192,1,B7324,Denim,White,2025-02-15,2025-02-15 14:00:00,2872,2765,3.7,0
193,1,B3539,Denim,Black,2024-04-30,2024-04-30 15:00:00,1753,1648,5.97,0
194,1,B3176,Twill,Black,2024-03-23,2024-03-23 10:00:00,1623,1536,5.36,0
195,1,B7174,Rib,Black,2022-03-02,2022-03-02 14:00:00,866,818,5.45,0
196,1,B7247,Interlock,Navy,2022-11-21,2022-11-21 14:00:00,1596,1555,2.53,0
197,1,B4709,Denim,Red,2023-10-17,2023-10-17 18:00:00,1166,1118,4.09,0
198,1,B2690,Rib,Black,2023-05-26,2023-05-26 19:00:00,2751,2640,4.0,0
199,1,B3574,Denim,Navy,2025-10-27,2025-10-27 06:00:00,1206,1156,4.07,0
200,1,B4474,Rib,Navy,2024-06-29,2024-06-29 08:00:00,996,974,2.18,1
201,1,B4768,Rib,Black,2023-01-09,2023-01-09 13:00:00,566,553,2.25,0
202,1,B8110,Twill,Black,2023-04-23,2023-04-23 16:00:00,685,646,5.64,0
203,1,B8878,Twill,Black,2024-11-11,2024-11-11 09:00:00,545,522,4.19,0
204,1,B7105,Twill,Sky Blue,2025-07-18,2025-07-18 09:00:00,880,852,3.16,0
205,1,B5740,Interlock,Marl Grey,2024-02-27,2024-02-27 14:00:00,1499,1430,4.56,1
206,1,B1776,Twill,Olive,2023-05-28,2023-05-28 14:00:00,2224,2109,5.13,0
207,1,B3265,Rib,Olive,2023-03-02,2023-03-02 11:00:00,1767,1702,3.63,0
208,1,B2600,Single Jersey,Black,2025-11-28,2025-11-28 13:00:00,1313,1248,4.93,0
209,1,B7623,Rib,Black,2024-07-20,2024-07-20 11:00:00,2015,1908,5.27,0
210,1,B7212,Twill,Sky Blue,2024-02-01,2024-02-01 06:00:00,805,778,3.33,0
211,1,B8141,Twill,Marl Grey,2024-03-17,2024-03-17 06:00:00,2097,2019,3.69,1
212,1,B7438,Interlock,Olive,2024-11-30,2024-11-30 20:00:00,854,812,4.84,0
213,1,B4683,Interlock,Black,2023-06-08,2023-06-08 15:00:00,2330,2232,4.17,1
214,1,B5405,Denim,Red,2025-11-20,2025-11-20 18:00:00,671,643,4.09,1
215,1,B4189,Twill,Red,2023-09-28,2023-09-28 12:00:00,2745,2667,2.81,0
216,1,B9753,Denim,White,2024-05-20,2024-05-20 18:00:00,2159,2102,2.64,0
217,1,B1252,Denim,Navy,2025-01-22,2025-01-22 20:00:00,2711,2609,3.73,0
218,1,B2938,Twill,White,2024-07-25,2024-07-25 06:00:00,2487,2359,5.13,1
219,1,B7078,Denim,Red,2023-08-29,2023-08-29 15:00:00,1239,1196,3.45,0
220,1,B8446,Twill,Black,2022-10-10,2022-10-10 07:00:00,2935,2848,2.95,1
221,1,B3174,Twill,Marl Grey,2024-01-12,2024-01-12 14:00:00,1968,1892,3.82,0
222,1,B4060,Twill,Black,2023-05-15,2023-05-15 06:00:00,1739,1636,5.91,0
223,1,B7038,Rib,Black,2022-09-20,2022-09-20 07:00:00,2388,2305,3.44,0
224,1,B8545,Twill,Red,2025-05-20,2025-05-20 08:00:00,1691,1609,4.82,0
225,1,B8999,Interlock,Red,2025-06-06,2025-06-06 14:00:00,2966,2884,2.74,1
226,1,B3370,Interlock,Black,2023-07-15,2023-07-15 08:00:00,2992,2846,4.85,0
227,1,B8139,Interlock,Navy,2025-02-10,2025-02-10 11:00:00,1166,1136,2.56,0
228,1,B9392,Denim,Black,2022-04-09,2022-04-09 20:00:00,2340,2288,2.21,0
229,1,B5330,Interlock,Olive,2024-02-25,2024-02-25 16:00:00,1040,1014,2.42,0
230,1,B5811,Interlock,Red,2024-06-29,2024-06-29 08:00:00,685,662,3.28,0
231,1,B1047,Denim,Navy,2022-01-13,2022-01-13 19:00:00,1017,962,5.38,0
232,1,B1000,Denim,Black,2022-11-15,2022-11-15 20:00:00,703,687,2.25,0
233,1,B6606,Twill,Olive,2022-12-31,2022-12-31 08:00:00,716,688,3.84,0
234,1,B5562,Twill,Navy,2022-09-01,2022-09-01 11:00:00,2560,2492,2.65,0
235,1,B5587,Single Jersey,Black,2023-05-05,2023-05-05 20:00:00,864,829,3.94,0
236,1,B9465,Rib,Navy,2024-12-04,2024-12-04 08:00:00,1572,1495,4.87,0
237,1,B7876,Single Jersey,Red,2024-06-28,2024-06-28 11:00:00,2721,2565,5.7,0
238,1,B1102,Twill,Black,2024-06-15,2024-06-15 16:00:00,741,702,5.15,0
239,1,B1966,Single Jersey,Black,2022-03-01,2022-03-01 08:00:00,2852,2752,3.49,1
240,1,B8599,Single Jersey,Sky Blue,2022-07-02,2022-07-02 17:00:00,852,824,3.26,0
241,1,B1714,Interlock,Navy,2022-08-12,2022-08-12 09:00:00,2304,2253,2.21,0
242,1,B1718,Single Jersey,Red,2023-02-16,2023-02-16 16:00:00,790,748,5.24,0
243,1,B1240,Single Jersey,Red,2025-06-19,2025-06-19 16:00:00,1550,1462,5.62,0
244,1,B2419,Denim,White,2024-11-03,2024-11-03 10:00:00,1779,1703,4.25,0
245,1,B4719,Rib,Sky Blue,2023-07-24,2023-07-24 14:00:00,2824,2708,4.09,0
246,1,B4495,Twill,Olive,2024-03-04,2024-03-04 13:00:00,1038,992,4.38,0
247,1,B2893,Twill,Sky Blue,2023-11-01,2023-11-01 14:00:00,860,809,5.84,0
248,1,B3314,Twill,Navy,2025-10-28,2025-10-28 20:00:00,1773,1680,5.24,1
249,1,B2158,Single Jersey,Olive,2023-12-03,2023-12-03 14:00:00,1861,1820,2.18,0
250,1,B7607,Rib,Marl Grey,2023-07-11,2023-07-11 09:00:00,1250,1221,2.27,0
251,1,B6897,Twill,Olive,2024-11-17,2024-11-17 11:00:00,2646,2512,5.06,0
252,1,B3480,Twill,White,2022-09-04,2022-09-04 14:00:00,747,719,3.62,0
253,1,B8133,Single Jersey,Marl Grey,2023-07-24,2023-07-24 09:00:00,2258,2172,3.79,0
254,1,B5118,Interlock,White,2022-07-18,2022-07-18 08:00:00,2561,2489,2.78,0
255,1,B6208,Rib,Red,2022-11-08,2022-11-08 06:00:00,1720,1657,3.62,0
256,1,B6420,Interlock,Black,2023-12-07,2023-12-07 17:00:00,2324,2201,5.27,0
257,1,B1821,Twill,Olive,2023-11-27,2023-11-27 11:00:00,2339,2234,4.48,0
258,1,B7505,Rib,Navy,2025-03-24,2025-03-24 15:00:00,2812,2735,2.73,0
259,1,B1557,Denim,Olive,2022-11-09,2022-11-09 17:00:00,1829,1784,2.43,0
260,1,B6070,Single Jersey,Marl Grey,2023-02-02,2023-02-02 07:00:00,2957,2885,2.41,0
261,1,B2640,Twill,Sky Blue,2022-04-01,2022-04-01 16:00:00,2578,2429,5.77,1
262,1,B1312,Rib,Olive,2024-12-22,2024-12-22 12:00:00,1708,1625,4.82,0
263,1,B1884,Rib,Navy,2022-11-06,2022-11-06 20:00:00,597,575,3.62,0
264,1,B4830,Interlock,Sky Blue,2022-07-02,2022-07-02 08:00:00,1597,1520,4.79,1
265,1,B1010,Single Jersey,Marl Grey,2024-08-21,2024-08-21 18:00:00,1053,1024,2.73,0
266,1,B6854,Single Jersey,Black,2024-07-11,2024-07-11 17:00:00,1146,1083,5.44,0
267,1,B1831,Single Jersey,Olive,2025-11-19,2025-11-19 20:00:00,954,922,3.35,0
268,1,B3999,Interlock,Sky Blue,2025-07-01,2025-07-01 15:00:00,2909,2820,3.04,0
269,1,B6567,Single Jersey,Red,2023-06-17,2023-06-17 07:00:00,1657,1620,2.18,0
270,1,B8257,Rib,Sky Blue,2022-08-28,2022-08-28 20:00:00,1028,988,3.85,0
271,1,B6797,Denim,Marl Grey,2023-12-11,2023-12-11 16:00:00,1999,1907,4.58,0
272,1,B2077,Single Jersey,Black,2022-03-25,2022-03-25 09:00:00,2108,2041,3.15,0
273,1,B5981,Single Jersey,Navy,2022-08-16,2022-08-16 08:00:00,2871,2799,2.47,0
274,1,B1514,Rib,Red,2025-11-17,2025-11-17 18:00:00,686,658,4.03,0
275,1,B5656,Single Jersey,Black,2022-08-01,2022-08-01 07:00:00,2723,2635,3.2,0
276,1,B4627,Interlock,White,2022-02-06,2022-02-06 18:00:00,1213,1142,5.84,0
277,1,B4991,Interlock,Marl Grey,2023-09-16,2023-09-16 12:00:00,2822,2727,3.36,1
278,1,B2157,Single Jersey,Black,2022-11-07,2022-11-07 15:00:00,2169,2042,5.86,0
279,1,B1213,Single Jersey,Red,2023-12-12,2023-12-12 19:00:00,2839,2733,3.71,0
280,1,B9970,Single Jersey,Black,2022-04-09,2022-04-09 10:00:00,2739,2641,3.55,0
281,1,B1722,Rib,Red,2022-01-24,2022-01-24 17:00:00,2551,2472,3.07,0
282,1,B4568,Rib,White,2023-08-23,2023-08-23 11:00:00,1683,1628,3.23,0
283,1,B4686,Single Jersey,Black,2024-11-24,2024-11-24 19:00:00,2108,2024,3.96,0
284,1,B3575,Interlock,Olive,2025-01-24,2025-01-24 19:00:00,532,516,2.87,0
285,1,B1181,Single Jersey,Red,2022-04-29,2022-04-29 08:00:00,1370,1288,5.94,0
